customer_id,age,yrs_experience,family_size,education_level,income,mortgage_amt,credit_card_acct,credit_card_spend,share_trading_acct,fixed_deposit_acct,online_acct,personal_loan
3815,40,9,3,Graduate,60,0,yes,1.7,0,0,yes,no
5737,65,27,4,Advanced or Professional,36,90,no,0,0,0,yes,no
4209,61,3,2,Undergraduate,145,314,no,0,0,1,yes,yes
4734,29,14,1,Undergraduate,52,0,no,0,1,0,yes,no
2551,43,23,4,Graduate,33,0,no,0,0,0,yes,no
4491,44,18,3,Advanced or Professional,49,0,no,0,0,0,yes,no
706,42,16,4,Advanced or Professional,23,0,no,0,0,0,yes,no
5327,64,38,2,Undergraduate,112,0,no,0,0,0,no,no
5269,43,7,4,Graduate,28,83,yes,0.9,0,0,yes,no
1918,25,8,1,Undergraduate,47,0,no,0,0,0,no,no
4542,,,,Undergraduate,,155,no,0,0,0,yes,no
4359,25,15,2,Advanced or Professional,40,0,no,0,0,0,yes,no
2179,64,13,2,Graduate,175,0,no,0,0,1,no,yes
3783,64,25,3,Undergraduate,77,173,no,0,0,0,yes,no
371,64,27,4,Advanced or Professional,58,232,no,0,1,0,yes,no
3852,36,22,1,Graduate,82,0,no,0,0,0,yes,no
758,35,1,4,Advanced or Professional,112,0,no,0,0,0,yes,no
1051,26,24,2,Undergraduate,69,0,yes,1,0,0,no,no
2613,45,10,2,Undergraduate,149,287,yes,0.6,0,0,yes,no
3649,58,1,3,Undergraduate,66,0,yes,1.9,1,0,yes,no
3181,31,11,2,Graduate,182,262,yes,4.7,1,0,yes,yes
2330,29,31,2,Graduate,144,96,no,0,0,0,yes,yes
3411,28,9,1,Graduate,79,0,no,0,0,0,yes,no
1568,34,4,1,Advanced or Professional,45,84,no,0,0,0,yes,no
337,,3,,Graduate,258,152,no,0,0,0,no,no
1591,45,19,1,Graduate,143,291,no,0,0,1,yes,yes
4997,36,24,1,Undergraduate,112,124,yes,0.3,1,0,yes,no
4566,62,,,Undergraduate,,94,yes,1.2,0,0,yes,no
772,36,11,2,Undergraduate,58,0,no,0,0,0,no,no
3866,67,3,2,Undergraduate,79,0,no,0,0,0,yes,no
2381,35,5,2,Graduate,172,132,yes,0.3,0,0,no,yes
4927,51,36,3,Graduate,93,0,yes,0.6,0,0,yes,no
3683,32,27,4,Advanced or Professional,147,364,no,0,0,0,yes,yes
2833,27,15,2,Graduate,94,0,yes,0.5,0,0,no,no
1296,53,4,2,Advanced or Professional,80,167,no,0,0,0,no,no
1012,59,10,2,Graduate,50,0,no,0,0,0,yes,no
4792,61,33,1,Advanced or Professional,121,190,no,0,0,0,yes,yes
2250,27,14,1,Undergraduate,15,100,yes,4.4,0,0,yes,no
4367,49,37,1,Graduate,91,0,no,0,0,0,no,no
5794,33,39,4,Advanced or Professional,174,0,no,0,0,0,no,yes
2267,51,11,2,Graduate,29,149,no,0,0,0,yes,no
3337,66,40,2,Undergraduate,99,0,yes,0.2,0,0,no,no
5087,46,34,4,Advanced or Professional,23,0,no,0,1,0,no,no
2271,59,33,2,Advanced or Professional,48,72,no,0,0,0,yes,no
5459,40,13,4,Undergraduate,100,0,no,0,0,1,no,yes
173,43,28,2,Graduate,78,0,no,0,0,0,yes,no
2892,37,2,2,Advanced or Professional,203,0,no,0,0,0,yes,yes
3945,44,17,1,Undergraduate,74,224,no,0,0,0,no,no
612,38,22,2,Graduate,40,0,no,0,0,0,no,no
4625,31,42,4,Undergraduate,23,130,no,0,0,0,no,no
3809,,,,Undergraduate,,0,no,0,0,0,yes,no
2297,55,10,4,Graduate,64,119,no,0,0,0,yes,no
1457,61,37,2,Undergraduate,40,95,no,0,0,0,yes,no
